date,Maureen McCormick,Dancing with the Stars,normalized_score
2016-09-12,0,9,0.0
2016-09-13,10,100,10.0
2016-09-14,2,17,11.76470588235294
2016-09-15,1,8,12.5
2016-09-16,0,4,0.0
2016-09-17,0,4,0.0
2016-09-18,0,3,0.0
2016-09-19,0,4,0.0
2016-09-20,7,22,31.818181818181817
2016-09-21,3,26,11.538461538461538
2016-09-22,1,7,14.285714285714285
2016-09-23,1,4,25.0
2016-09-24,1,4,25.0
2016-09-25,0,3,0.0
2016-09-26,0,4,0.0
2016-09-27,1,11,9.090909090909092
2016-09-28,2,18,11.11111111111111
2016-09-29,0,5,0.0
2016-09-30,0,3,0.0
2016-10-01,0,3,0.0
2016-10-02,0,2,0.0
2016-10-03,0,3,0.0
2016-10-04,6,18,33.33333333333333
2016-10-05,1,20,5.0
2016-10-06,1,5,20.0
2016-10-07,0,3,0.0
2016-10-08,0,2,0.0
2016-10-09,0,2,0.0
2016-10-10,0,3,0.0
2016-10-11,7,19,36.84210526315789
2016-10-12,1,7,14.285714285714285
2016-10-13,0,4,0.0
2016-10-14,0,2,0.0
2016-10-15,0,2,0.0
2016-10-16,0,2,0.0
2016-10-17,0,3,0.0
2016-10-18,4,19,21.052631578947366
2016-10-19,0,5,0.0
2016-10-20,0,3,0.0
2016-10-21,0,3,0.0
2016-10-22,0,2,0.0
2016-10-23,0,2,0.0
2016-10-24,0,2,0.0
2016-10-25,6,15,40.0
2016-10-26,1,3,33.33333333333333
2016-10-27,0,3,0.0
2016-10-28,0,2,0.0
2016-10-29,0,2,0.0
2016-10-30,0,2,0.0
2016-10-31,0,4,0.0
2016-11-01,0,15,0.0
2016-11-02,0,4,0.0
2016-11-03,0,3,0.0
2016-11-04,0,2,0.0
2016-11-05,0,2,0.0
2016-11-06,0,2,0.0
2016-11-07,0,3,0.0
2016-11-08,0,15,0.0
2016-11-09,0,2,0.0
2016-11-10,0,2,0.0
2016-11-11,0,2,0.0
2016-11-12,0,2,0.0
2016-11-13,0,2,0.0
2016-11-14,0,3,0.0
2016-11-15,0,19,0.0
2016-11-16,0,5,0.0
2016-11-17,0,2,0.0
2016-11-18,0,2,0.0
2016-11-19,0,2,0.0
2016-11-20,0,2,0.0
2016-11-21,0,4,0.0
2016-11-22,0,25,0.0
